../data/bills_branch.dat
Address		HEX			Binary								Assembly
0x00400020	20050001	00100000000001010000000000000001	ADDI r5, r0, 1
0x00400024	20060064	00100000000001100000000001100100	ADDI r6, r0, 100
0x00400028	20021000	00100000000000100001000000000000	ADDI r2, r0, 4096
0x0040002c	00421400	00000000010000100001010000000000	SLL r2, r2, 16
0x00400030	20470028	00100000010001110000000000101000	ADDI r7, r2, 40
0x00400034	8c430000	10001100010000110000000000000000	LW r3, 0(r2)
0x00400038	00c3202a	00000000110000110010000000101010	SLT r4, r6, r3
0x0040003c	10850002	00010000100001010000000000000010	BEQ r4, r5, 2
0x00400040	00c33022	00000000110000110011000000100010	SUB r6, r6, r3
0x00400044	ac400000	10101100010000000000000000000000	SW r0, 0(r2)
0x00400048	20420004	00100000010000100000000000000100	ADDI r2, r2, 4
0x0040004c	1447fff9	00010100010001111111111111111001	BNE r2, r7, -7
0x00400050	ace60000	10101100111001100000000000000000	SW r6, 0(r7)
0x10000000	0000000a	00000000000000000000000000001010	INVALID INSTRUCTION
0x10000004	00000009	00000000000000000000000000001001	INVALID INSTRUCTION
0x10000008	00000008	00000000000000000000000000001000	INVALID INSTRUCTION
0x1000000c	000002bc	00000000000000000000001010111100	INVALID INSTRUCTION
0x10000010	00000005	00000000000000000000000000000101	INVALID INSTRUCTION
0x10000014	00000006	00000000000000000000000000000110	INVALID INSTRUCTION
0x10000018	00000190	00000000000000000000000110010000	INVALID INSTRUCTION
0x1000001c	00000001	00000000000000000000000000000001	INVALID INSTRUCTION
0x10000020	00000002	00000000000000000000000000000010	INVALID INSTRUCTION
0x10000024	00000003	00000000000000000000000000000011	INVALID INSTRUCTION
